match_id,home_team,away_team,date,home_goals,away_goals,baseline_home,baseline_draw,baseline_away,llm_home,llm_draw,llm_away,llm_confidence,parse_method,skipped_web_search,iteration_count,web_searches_performed,has_kg_insights,actual_outcome,baseline_correct,llm_correct,baseline_brier,llm_brier
2,Manchester United,Leeds United,2021-08-14,5,1,0.6211,0.215,0.164,0.65,0.2,0.15,medium,exact_format,False,1,5,True,H,True,True,0.2167,0.185
3,Burnley,Brighton & Hove Albion,2021-08-14,1,2,0.3003,0.3102,0.3895,0.3,0.4,0.3,medium,exact_format,False,1,5,True,A,True,False,0.5591,0.74
5,Everton,Southampton,2021-08-14,3,1,0.4879,0.2746,0.2376,0.55,0.3,0.15,medium,exact_format,False,1,5,True,H,True,True,0.3941,0.315
6,Leicester City,Wolverhampton,2021-08-14,1,0,0.5646,0.2546,0.1808,0.55,0.25,0.2,medium,exact_format,False,1,5,True,H,True,True,0.2871,0.305
9,Newcastle United,West Ham United,2021-08-15,2,4,0.2983,0.2763,0.4254,0.32,0.3,0.38,medium,exact_format,False,1,5,True,A,True,True,0.4955,0.5768
14,Leeds United,Everton,2021-08-21,2,2,0.4063,0.2776,0.316,0.35,0.4,0.25,medium,exact_format,False,1,5,True,D,False,True,0.7868,0.545
20,West Ham United,Leicester City,2021-08-23,4,1,0.3719,0.2768,0.3513,0.45,0.3,0.25,medium,exact_format,False,1,5,True,H,True,True,0.5945,0.455
21,Manchester City,Arsenal,2021-08-28,5,0,0.7623,0.1579,0.0798,0.55,0.3,0.15,low,exact_format,False,2,5,True,H,True,True,0.0878,0.315
25,Norwich City,Leicester City,2021-08-28,1,2,0.2212,0.2695,0.5093,0.25,0.3,0.45,medium,exact_format,False,2,5,True,A,True,True,0.3623,0.455
28,Burnley,Leeds United,2021-08-29,1,1,0.3109,0.276,0.413,0.32,0.3,0.38,medium,exact_format,False,1,5,True,D,False,False,0.7914,0.7368
30,Wolverhampton,Manchester United,2021-08-29,0,1,0.1953,0.273,0.5317,0.22,0.3,0.48,medium,exact_format,False,1,5,True,A,True,True,0.332,0.4088
32,Arsenal,Norwich City,2021-09-11,1,0,0.6338,0.2148,0.1514,0.65,0.2,0.15,medium,exact_format,False,1,5,True,H,True,True,0.2032,0.185
33,Brentford,Brighton & Hove Albion,2021-09-11,0,1,0.3377,0.3043,0.3579,0.325,0.335,0.34,medium,exact_format,False,1,5,True,A,True,True,0.6189,0.6534
35,Manchester United,Newcastle United,2021-09-11,4,1,0.8005,0.1346,0.0649,0.65,0.25,0.1,medium,exact_format,True,1,0,True,H,True,True,0.0621,0.195
42,Wolverhampton,Brentford,2021-09-18,0,2,0.5085,0.2937,0.1979,0.42,0.31,0.27,medium,exact_format,False,1,5,True,A,False,False,0.9882,0.8054
50,Tottenham Hotspur,Chelsea,2021-09-19,0,3,0.1936,0.253,0.5533,0.35,0.3,0.35,low,exact_format,False,2,5,True,A,True,False,0.301,0.635
106,Brighton & Hove Albion,Newcastle United,2021-11-06,1,1,0.5907,0.243,0.1663,0.52,0.28,0.2,medium,exact_format,False,1,5,True,D,False,False,0.9496,0.8288
